Iout_exp,Iin_fit,e_delta1,e_delta2,e_delta1_delta2,e_delta1plusdelta2,N_RC2,C_RC2,S_RC2
6767.388461,22017.01977,0.871408421277934-0.304923800498146i,0.635521968411629+0.71887356534375i,0.332166561804906-0.907343405179214i,0.773000854803291+0.4326467047665i,0.528952735,-0.278020565,0.801818913
4465.839488,22022.84748,0.323954456255445-0.862399765553695i,0.814806100463842+0.505529034136084i,-0.222692864237636-0.94041445250636i,0.699928187748928-0.538920206636843i,0.537179667,-0.281432533,0.795131269
2550.836119,23580.57563,-0.453364125979465-0.799881826329261i,0.925225534259396+0.249678585015788i,-0.704201720084648-0.662123584543157i,-0.21975070309566-0.853266403581345i,0.545415008,-0.284861166,0.788274435
2642.644159,23871.80463,-0.902974951569892-0.16433039711598i,0.95743164820173-0.0271236188496514i,-0.952697503191671-0.164261666984352i,-0.868994031223224-0.132843174543234i,0.553629348,-0.288302127,0.781265914
3758.50399,23028.06436,-0.703635035674148+0.587064119207168i,0.908650628172146-0.301520107258566i,-0.885471614176412+0.388372041144536i,-0.462346780978244+0.745596292122275i,0.561819919,-0.291754289,0.774104523
3606.854296,22341.91796,0.000116311764638401+0.915140570064766i,0.782937027420353-0.550310930163949i,-0.524428592637632+0.812478137689398i,0.503702923130368+0.716433429962888i,0.569983888,-0.295216493,0.766789143
1742.815106,22381.49008,0.702201540683197+0.585211286537508i,0.590854374721516-0.752410106302923i,0.0109204861427072+0.967088334333911i,0.855217738562212-0.182568887084427i,0.578057533,-0.298702052,0.759359317
527.1170251,22571.5294,0.898214492446171-0.164802061627327i,0.348606056105109-0.890633413729212i,0.542930246982722+0.800515469405742i,0.166344789011354-0.857430836410278i,0.585988136,-0.302221398,0.751851136
2226.653958,23113.46334,0.447619589651398-0.795140928864634i,0.0766859778920823-0.953166002253275i,0.89474446755253+0.367754492217759i,-0.723575154437789-0.487631934490278i,0.593889082,-0.305745384,0.744187825
6270.138923,23533.93863,-0.324888283275686-0.852026580486639i,-0.201840507271172-0.934583899001602i,0.949129865135789-0.187558194573143i,-0.73071470774138+0.475608835737673i,0.601750573,-0.309274712,0.736373139
9966.032278,23837.04948,-0.862458357269222-0.294496555803195i,-0.46328277282541-0.836339943738677i,0.687635122472134-0.680741079940347i,0.153262866290455+0.85774355495553i,0.609570907,-0.312807744,0.728405536
10787.31316,23961.70883,-0.777105483144175+0.475230353686884i,-0.685335045471769-0.666669123447663i,0.196969816444006-0.94746882867652i,0.849399024955133+0.192380215220535i,0.617317608,-0.316338111,0.720311856
9896.290161,23661.40735,-0.130258884092437+0.901108548746799i,-0.84898039524704-0.439917042064873i,-0.359631330329953-0.898571358996941i,0.507000246245297-0.707720388882929i,0.62489862,-0.319849745,0.712178247
9398.215384,24182.51905,0.61045991302235+0.674924518499528i,-0.940125897154208-0.175344291414009i,-0.796635782894147-0.549947286490022i,-0.455565011952576-0.741554679351302i,0.632432385,-0.323360387,0.703894408
10082.75474,25351.2198,0.908710130009275-0.0398362985024499i,-0.950827606546829+0.104495385105172i,-0.968044169945394-0.0175318413085746i,-0.859863968608399+0.13283346734306i,0.639915899,-0.326868695,0.695459919
10617.96509,25833.32935,0.548122706335008-0.725219305541264i,-0.879997641805853+0.375667935004518i,-0.816230218451558+0.52113077951485i,-0.209905050056952+0.844103403886352i,0.647346114,-0.330373297,0.686874438
9072.270566,27020.27415,-0.209780219200499-0.883884842696791i,-0.733528934489748+0.614901461832664i,-0.391440751254202+0.886016162846377i,0.697381942533159+0.519360943425052i,0.654733694,-0.333878753,0.678121499
5686.123657,26835.99183,-0.814519927738877-0.400620012081798i,-0.523822509726403+0.801584284673947i,0.164676394831431+0.954790259976074i,0.747794578581004-0.443052593453933i,0.662321124,-0.337485196,0.668905427
2935.950011,26430.32448,-0.826566409264612+0.373065422436647i,-0.268753334732131+0.919546738350309i,0.66616989510482+0.703919766885451i,-0.120908613525471-0.8603290220223i,0.669841955,-0.341083731,0.659525317
3366.989241,27947.17842,-0.237572240862157+0.874158602331235i,0.00984057497732459+0.958471872078739i,0.944900445917283+0.21688461318407i,-0.840194279518888-0.219104087184778i,0.677287392,-0.344674319,0.649985694
5484.116873,27869.29513,0.523072696937613+0.738199183330245i,0.288019222040592+0.914810779677994i,0.906957306672985-0.343420682525494i,-0.524657579217355+0.691128096207546i,0.684655506,-0.34825482,0.64028542
6657.28706,28296.8668,0.901107872653548+0.0651521810149793i,0.541793912837558+0.792119957790908i,0.564442404489421-0.789039863697286i,0.436606417338123+0.74908458513339i,0.691943443,-0.35182333,0.630424156
5308.786452,29815.93998,0.621773269865356-0.65352598756368i,0.749196784759147+0.600787357348915i,0.031821710124324-0.969981292040794i,0.858460685659529-0.116066048966655i,0.699210959,-0.355325632,0.620360967
2890.821681,29328.6186,-0.10981265905532-0.893801506627095i,0.892187669368958+0.357166468067381i,-0.512141828441932-0.824803496607834i,0.22126242692553-0.836660082659967i,0.706397511,-0.35880664,0.610131421
1844.778789,28577.62245,-0.758932575329495-0.481683067648391i,0.958231988520273+0.0821892988661552i,-0.884288892204071-0.401672603163116i,-0.687644277205073-0.52394026000228i,0.713492471,-0.36227027,0.599740565
2734.432554,28439.83764,-0.852262939202865+0.280281294978521i,0.941410591385333-0.200425028521018i,-0.958771714005669+0.157391160931436i,-0.746153971070793+0.434674603557118i,0.720492065,-0.365714749,0.589189195
3638.688825,27561.7463,-0.323438413219918+0.834931865655029i,0.8429620390684-0.466213246383009i,-0.70977515368862+0.664015236720456i,0.116609991274743+0.854607140587974i,0.727392503,-0.369138285,0.578478239
2928.056696,27477.32815,0.439439619142914+0.778063630847813i,0.671206491479192-0.692086546230423i,-0.220693263499875+0.946906178871602i,0.833442096002833+0.21811111151949i,0.733959969,-0.37260092,0.567865581
1560.50439,28065.1654,0.878502297267891+0.153289964474751i,0.440853873107671-0.858340976906446i,0.343580620425576+0.909873621329597i,0.518866198141749-0.686476045504247i,0.740351398,-0.376059807,0.557188325
1796.68601,29622.84178,0.674138996300106-0.581066622314316i,0.171752738479806-0.950383883397083i,0.792131728842533+0.564756161393842i,-0.436451134296935-0.740490620874802i,0.746639479,-0.379493052,0.546364816
4865.727346,29785.95641,-0.0221553856942776-0.888014082732471i,-0.112814496183744-0.960024183051297i,0.972653576005405+0.0278985245228247i,-0.850015545638431+0.121450567398869i,0.752820797,-0.382898921,0.535396361
9045.839822,28736.53558,-0.699779191983439-0.544520350956041i,-0.388143911866071-0.886211348716798i,0.823340684093471-0.518887665432434i,-0.210945081605567+0.831504520642358i,0.758891947,-0.386275672,0.524284387
11899.32934,27786.84927,-0.863154626208055+0.196260608724588i,-0.630256113886779-0.735155419669687i,0.39429812426902-0.889852972043917i,0.688290530568837+0.510858352906002i,0.765051611,-0.389621891,0.512728792
12068.17478,27931.93337,-0.394054040817938+0.791145472743932i,-0.817989180353631-0.519814100021336i,-0.169041700826482-0.958524226229939i,0.733580513764043-0.442313590202749i,0.771216896,-0.392934953,0.50082594
11456.84224,28953.51196,0.362583666738796+0.804782546593016i,-0.934855262959117-0.258788348334214i,-0.675098113919948-0.701047200134221i,-0.130694903112769-0.846187627468418i,0.777249327,-0.396212531,0.48877307
11689.97706,29960.1719,0.851694503604615+0.228170607908726i,-0.97049716865796+0.0252800509732551i,-0.951331281901363-0.204718091582664i,-0.832335268908356-0.199908048481618i,0.783145107,-0.399452683,0.476572446
12269.84946,30336.72073,0.71477734795506-0.51499586127281i,-0.921615358438927+0.307671226615409i,-0.90324271093437+0.361435440359524i,-0.500300373399963+0.694544518683747i,0.788900473,-0.402653471,0.464226482
11419.87171,29765.89028,0.0527404337018422-0.87887728005115i,-0.792281513274738+0.563740165472114i,-0.546942630825256+0.804175724056062i,0.453673152661656+0.726050122243858i,0.794312934,-0.405798165,0.452100444
8607.332633,29841.04933,-0.647724252641569-0.595942151331567i,-0.593608187022099+0.771072117978108i,-0.00396906752171078+0.972114469271227i,0.844008796120468-0.145685971328142i,0.799354712,-0.408883863,0.440279492
5195.398776,29521.28772,-0.871043816900493+0.125984288437149i,-0.342800437747274+0.911451482756121i,0.540059872234984+0.807681516917593i,0.183765635230531-0.837101647685039i,0.804266107,-0.411927285,0.428336249
3494.661789,30606.18225,-0.451989562272617+0.755375037520955i,-0.0616697531051696+0.972470572120573i,0.898928400809118+0.367082525920531i,-0.706705910192136-0.486130340281505i,0.80904417,-0.414926786,0.416273099
4014.7199,30722.0005,0.301377511681657+0.827489588254704i,0.225261746989592+0.94863540689717i,0.949708857099091-0.198753967809982i,-0.717097097472387+0.472299128689738i,0.813686,-0.417880733,0.404092546
5194.081978,30606.57327,0.833002637070576+0.287603628203173i,0.492902178179541+0.841869181502454i,0.675071450204393-0.695833768354464i,0.168464183168847+0.843039703053674i,0.818351302,-0.42082922,0.391412715
4833.889817,29938.31699,0.748596008063626-0.466458627310064i,0.717788804157099+0.661366519129762i,0.169379496330245-0.953682748042901i,0.845833952086872+0.160277555801824i,0.823219825,-0.423820594,0.377736977
2881.388605,30978.67723,0.108534573808789-0.876276422467721i,0.880151944475655+0.422808527597783i,-0.393632768764918-0.883967494939851i,0.466024060132872-0.725367053787587i,0.827907641,-0.426756931,0.363933318
1442.805743,31563.74209,-0.613991192210884-0.636051351918274i,0.965661778829049+0.147004978325732i,-0.820552669564545-0.510930686305651i,-0.499405111652932-0.704470241823173i,0.832411306,-0.429636251,0.350005872
1604.740822,31817.89082,-0.881766664871574+0.0783419648772691i,0.966703003646732-0.141919304510305i,-0.964826786356051+0.0369049260350966i,-0.841288246277559+0.200873124577388i,0.836727486,-0.432456606,0.335958923
2920.156516,32155.4418,-0.493101341115806+0.736714994780016i,0.883063160213384-0.418636048279966i,-0.777210575026028+0.570961009959028i,-0.12702417446788+0.8569958683133i,0.840802426,-0.435213199,0.321932837
3344.279703,30899.63929,0.26507571459664+0.847331425389555i,0.721971598574568-0.65883832648709i,-0.322712998783358+0.907543407054066i,0.749631555694206+0.437107183513745i,0.844427423,-0.437893441,0.308531458
2804.523823,29990.17479,0.827733451676654+0.324752949913171i,0.497483013549216-0.841382895978193i,0.241833038248919+0.931112540592786i,0.685024909431002-0.534881692487927i,0.847881659,-0.440512492,0.295034636
2362.308627,30636.23737,0.772547328302959-0.442862079005832i,0.229257292977627-0.950160795406705i,0.721853584665801+0.634058109043127i,-0.243678076059815-0.835573545344986i,0.851166953,-0.443066128,0.28143778
3936.111628,30368.42055,0.137848314848871-0.881036669938996i,-0.0591590449143281-0.975530036674381i,0.952117633485925+0.119253257469691i,-0.867632709586572-0.0823538837119294i,0.85428157,-0.445552159,0.267742923
7108.566339,30928.81026,-0.6024584868278-0.659099929788679i,-0.342400031918674-0.915182135749396i,0.853679091503284-0.43549102201185i,-0.396914676296765+0.777035081672655i,0.857218757,-0.447972456,0.25396197
10398.56825,31205.8747,-0.892099699155056+0.0590595464747315i,-0.59551474582318-0.774363680991429i,0.461034982334532-0.838801429562641i,0.576992093397117+0.655638776041724i,0.860045632,-0.45034941,0.239806005
11861.72931,30858.78919,-0.511041216797189+0.7347800379453i,-0.796172180745309-0.565430821087549i,-0.0898609994935816-0.951767571579331i,0.822344080202306-0.296052970355816i,0.862681563,-0.452655941,0.22557287
11780.50397,30498.1613,0.256064165486837+0.858465972412023i,-0.926641260182676-0.306773498558604i,-0.608583374707517-0.735837876278123i,0.0260749887560021-0.874043690401709i,0.865124633,-0.45489063,0.211267329
11402.33304,29567.03576,0.831614787781738+0.33483531412503i,-0.97536977290514-0.0212022530285117i,-0.916000550788382-0.266066170532181i,-0.80403266365027-0.344220351451552i,0.867373062,-0.457052109,0.19689424
11649.35413,29052.06681,0.780215276926556-0.44248700486984i,-0.938020747101361+0.266061509129029i,-0.906128230765741+0.294858232608142i,-0.614129356676889+0.622647244915254i,0.86942521,-0.459139069,0.182458542
11784.5221,28863.76653,0.139145965299302-0.886366782188455i,-0.817872254019124+0.529615047988691i,-0.58272561099427+0.752839098293828i,0.355629561607313+0.798628595125572i,0.871207931,-0.461119895,0.168419661
9895.451103,30211.33437,-0.607628932273419-0.660226664454875i,-0.625542714556847+0.746126556879371i,-0.057993685494957+0.949463711689159i,0.872710499647261-0.0403681031915394i,0.872794349,-0.463021914,0.154404443
6804.282546,29530.93765,-0.894721075148704+0.0656366056482916i,-0.378063542883217+0.896410155857619i,0.486201078449586+0.816798833339021i,0.27942409966385-0.826851866097368i,0.874196176,-0.464849291,0.140343087
3901.406638,29683.39111,-0.504177049489558+0.741603028647457i,-0.097379109346693+0.967138440330779i,0.861224660877032+0.400952404793191i,-0.668136484438347-0.559825647712405i,0.875412403,-0.466601037,0.126240235
2934.031455,29998.23737,0.268086267599142+0.855132518651931i,0.191594645686387+0.952038815585823i,0.93699572130754-0.153788594833765i,-0.762755456772262+0.419067344605936i,0.876442151,-0.468276218,0.112100581
3291.766726,28829.43295,0.836142538611053+0.320258864846673i,0.463181684205461+0.852465126137932i,0.687146290236284-0.65483811550389i,0.114276395651387+0.861120395047773i,0.877238142,-0.469972006,0.097875209
3504.109544,28100.91063,0.769067043464062-0.456568773182484i,0.693231288909214+0.677291294291989i,0.19834482576083-0.928034460786698i,0.84237139312026+0.204374654156096i,0.877825306,-0.471628571,0.083601578
2683.588119,27737.01541,0.118645436331986-0.88528112705139i,0.861273782780566+0.442133950499962i,-0.359557556794739-0.878150814072153i,0.493599045765591-0.71001224964554i,0.878221901,-0.473204904,0.069306648
1281.246022,27657.9618,-0.620105739615622-0.640963968872697i,0.952353557013743+0.167971015176733i,-0.792351683858027-0.522193374148326i,-0.482896538304321-0.714584106273714i,0.878427668,-0.47470027,0.054995335
1244.64402,28170.67262,-0.885825132804004+0.0892290838800196i,0.958374387363228-0.120722490500199i,-0.948974215203428+0.016184155203688i,-0.83818016173094+0.192453884778264i,0.878442486,-0.476113999,0.040672577
2337.071895,28433.93304,-0.477931483089914+0.749172765972183i,0.87883491946868-0.398156370040677i,-0.774278109716869+0.549396953836047i,-0.121734967420053+0.848690651886529i,0.878293311,-0.47742375,0.025834522
3710.983704,27771.83098,0.291484921081901+0.837573297111291i,0.720886281409294-0.639530672761267i,-0.328630395950698+0.891115924405225i,0.745781295034069+0.417381551883008i,0.87795301,-0.478629468,0.010599264
3946.696755,27792.06501,0.836347223167048+0.289225426643147i,0.498704254838312-0.823258429395518i,0.232689087640978+0.921348105055597i,0.6551971891951-0.544291950499443i,0.877394944,-0.479746485,-0.004628455
3371.346148,27950.98599,0.743279971584137-0.476611705986777i,0.232229912670894-0.932906027399375i,0.713361748703277+0.628701696421998i,-0.272022090353154-0.804093860395312i,0.876619786,-0.480774396,-0.019842659
3789.740071,27055.75491,0.0855864510650506-0.876752153662891i,-0.0546104099514453-0.958676034955306i,0.944582951258858+0.114904770223705i,-0.845195189491017-0.034169885015596i,0.875628393,-0.48171288,-0.0350374
5647.732938,27443.3607,-0.634200722894531-0.608394146336628i,-0.336047657941425-0.898297651675082i,0.844406042349508-0.440286567245937i,-0.333397365353594+0.774150448048494i,0.874421375,-0.48258488,-0.049990915
8611.55038,27604.91459,-0.868279037783134+0.121481342574494i,-0.586783662167503-0.757242678967523i,0.446996058201313-0.841798203648884i,0.601482810869344+0.586214677581357i,0.873011032,-0.483402104,-0.064607607
10765.66278,27904.35221,-0.44063158533724+0.755537489427726i,-0.784268140037377-0.548245285958824i,-0.108730598366975-0.947766436003665i,0.759793180818074-0.350969792056287i,0.871403901,-0.484132185,-0.079191344
11432.52457,27819.45479,0.320415689893727+0.811605508294209i,-0.91073384439837-0.290166495069337i,-0.627429691348546-0.719820764858524i,-0.0563126873417721-0.832130502405364i,0.869601336,-0.484775106,-0.093736934
11252.82651,27449.96945,0.834029236976355+0.249447020142172i,-0.954805569411381-0.00630358101500518i,-0.92590558592532-0.237236495720286i,-0.79476335101653-0.243430774968982i,0.867604839,-0.485330929,-0.108239234
11001.28573,27048.04408,0.710047527619468-0.500231656917585i,-0.912536422927139+0.277704907479778i,-0.897905271669898+0.330362599587331i,-0.509027444959374+0.653663289802298i,0.86541335,-0.485799796,-0.122712232
11335.43793,25880.24068,0.0454678146504138-0.865471178307317i,-0.787775907509288+0.536190650670473i,-0.552175834226284+0.782468600009796i,0.428239105284447+0.706176760036149i,0.863022466,-0.48618162,-0.137184753
10359.40483,25713.8741,-0.651060191799856-0.569295231989383i,-0.591834364663986+0.745775398025492i,-0.0100589491802486+0.958540095174088i,0.809886173202777-0.148616191747418i,0.860440971,-0.486476495,-0.151598004
7496.062382,26401.21711,-0.848176065114155+0.160066508381902i,-0.34247184375186+0.887489366008355i,0.536886397988606+0.795194215853371i,0.148419096802817-0.807565510540095i,0.857670973,-0.486684786,-0.165947042
4290.5032,27443.95224,-0.397077480829821+0.764587463819059i,-0.062300723175375+0.948495810364797i,0.894521094625218+0.349287719675384i,-0.700469791877469-0.424260678884047i,0.85471471,-0.486806931,-0.180227012
2018.797421,27383.81938,0.355836816502583+0.782999705601995i,0.223255129803519+0.923264300090111i,0.935159607858926-0.221625490571785i,-0.643473280506234+0.503340130244841i,0.851577627,-0.4868511,-0.194400494
2074.46999,26728.57605,0.834409683478664+0.202785499744012i,0.488261113597764+0.814084569990089i,0.643397346648104-0.714849740996861i,0.242325254892721+0.778292322296785i,0.848287517,-0.486870579,-0.208243435
2713.331554,27445.57363,0.673290611318826-0.530947623537431i,0.708624717510051+0.630872214540553i,0.122182057531053-0.954570531076846i,0.812070472314075+0.0485177292502254i,0.844826442,-0.486806938,-0.222007406
2379.221418,28147.93703,-0.00293334572491135-0.856323533342489i,0.864287032816142+0.390281566933381i,-0.443346995702809-0.854723558308596i,0.331672037722028-0.741254156529091i,0.841196949,-0.486660833,-0.235688199
1626.616593,28316.51879,-0.675412812605692-0.524777905205602i,0.941053378849182+0.114204086081436i,-0.851616200294861-0.450141413292922i,-0.575667728360879-0.570978923830453i,0.837401688,-0.486432981,-0.249281703
1271.958663,28047.33406,-0.828565984079641+0.208618060436634i,0.931895485136715-0.172213278901673i,-0.95661127714646+0.115397244302773i,-0.736210099475776+0.337100293543624i,0.833443408,-0.486124163,-0.262783912
2643.318292,27927.91695,-0.345393554416593+0.780637662323274i,0.837605061666063-0.44285110266104i,-0.720326560481304+0.640200303661325i,0.0564028600924277+0.806823973714541i,0.829085692,-0.485705511,-0.276960415
4834.000294,26900.41893,0.402489070992854+0.752002105390627i,0.666737125782006-0.67299510833834i,-0.226731468012263+0.936682194698586i,0.774448144740469+0.23051454639233i,0.824541631,-0.485202104,-0.291049853
5285.12133,26376.37134,0.839901756254032+0.145009265914635i,0.434845864855241-0.841592202934595i,0.347960678390657+0.898608611411895i,0.487266473138747-0.643798089645793i,0.819823354,-0.484616073,-0.305019556
4533.599403,26985.60837,0.6302408410138-0.573010897129756i,0.163080264099099-0.933178934428428i,0.798233274074593+0.539373844681022i,-0.431941855600854-0.681574244886117i,0.814934725,-0.483948611,-0.318865388
3969.004101,27042.01692,-0.0649394072499858-0.848829653938001i,-0.123734651060638-0.939305405778584i,0.962911518901643-0.0125684168473236i,-0.789275027632967+0.166027577317909i,0.809878882,-0.483197804,-0.332589956
5072.589135,26130.01576,-0.70952501212171-0.469642860839319i,-0.39935768942082-0.859322968409273i,0.783051430158707-0.559617958896978i,-0.120220627841461+0.797266627334827i,0.804974475,-0.482507006,-0.345257995
8402.337853,26160.45588,-0.805815294140301+0.271965643917156i,-0.638527377442613-0.700461523761i,0.323197280102939-0.905871028020248i,0.705036595819406+0.39078509943852i,0.800007495,-0.481775901,-0.357603117
10777.78799,26544.93993,-0.279177114551097+0.802934420467163i,-0.819275468230319-0.477186805285938i,-0.251718890698956-0.927443080947663i,0.61187267219988-0.524604837884891i,0.794912291,-0.480973376,-0.369836534
11134.62539,27015.89959,0.463189202576442+0.712348223220867i,-0.924946288091568-0.209893743901703i,-0.735582040423747-0.616953837207839i,-0.27890769807362-0.756104360760378i,0.78969197,-0.480100553,-0.381955562
10790.87966,27093.22968,0.84639708747114+0.0700871048942036i,-0.945736102542518+0.0769470546426337i,-0.95511771045107-0.0861381857568293i,-0.805861278998332-0.00115614248212496i,0.784349682,-0.479158595,-0.393957634
10777.91485,26621.90818,0.573180564847021-0.62612374095239i,-0.879609760941059+0.357022159707976i,-0.832089406587145+0.474366863040317i,-0.28063516938189+0.755382717262974i,0.778665526,-0.478072191,-0.40635819
11408.48165,27070.40458,-0.144655236310379-0.835963869957973i,-0.732508222987528+0.604584465167289i,-0.411285138756498+0.863570946252903i,0.611371919313274+0.524894100186333i,0.772740617,-0.476877886,-0.418878767
11205.90712,27222.52572,-0.749549446257154-0.396276891186554i,-0.517825106833468+0.7968185335476i,0.155750819766878+0.942321671474973i,0.703896293399149-0.392052767073729i,0.766687747,-0.475614851,-0.431254464
7961.85306,27010.57811,-0.771083843832026+0.351103321712212i,-0.255197274492159+0.915945009686897i,0.665330590649077+0.683159280652301i,-0.124812840055923-0.795871009574235i,0.760511017,-0.474284652,-0.443482877
3853.217769,27333.92805,-0.192505700426163+0.824400754065984i,0.0312824174045947+0.950869859369059i,0.934870206305832+0.179940173183375i,-0.789919872755964-0.157258619794613i,0.75421455,-0.472888889,-0.455561754
1479.948112,26911.26397,0.535260655992931+0.654899907967695i,0.315268522899014+0.898224995820858i,0.868394753676237-0.386147766879413i,-0.419496630716515+0.687253827123996i,0.747900548,-0.471475893,-0.46728498
1522.354375,26773.15904,0.844581165737937-0.0249411008679552i,0.57058186297616+0.762701965031732i,0.4907729885856-0.811858096008558i,0.500925321623373+0.629932774939202i,0.741572475,-0.470044767,-0.478673356
2748.502157,26860.14786,0.494271537262821-0.684109129394938i,0.773622293017243+0.556644811105149i,-0.0615383473117148-0.94490997520189i,0.763185277137774-0.254108386862226i,0.73514462,-0.46855374,-0.489918137
3180.232122,26577.33407,-0.24138012820964-0.807612029736974i,0.90555322737468+0.298936187284395i,-0.589794079241186-0.738510546812006i,0.0228419068502286-0.803492935208142i,0.728620687,-0.467004363,-0.501017783
2032.291821,26399.58453,-0.786649962731736-0.299487852639954i,0.954055565173434+0.0132760067991i,-0.904484391559551-0.267850249543258i,-0.746531772019791-0.296171622766727i,0.722004382,-0.465398205,-0.51197088
2211.608603,26291.31083,-0.715031367054535+0.441664681409074i,0.914487195305193-0.273991567337818i,-0.893340876497267+0.297239186884784i,-0.532874631115909+0.59980926072212i,0.715240596,-0.463748368,-0.522846384
4422.974864,26187.73346,-0.0836685371547469+0.834854866007104i,0.79033812069143-0.536304467048089i,-0.561426820675497+0.753524094985135i,0.38160995956056+0.70468943607762i,0.708289449,-0.462063644,-0.533688342
6706.695172,26836.05314,0.611325064615871+0.572481240656785i,0.592935591194358-0.749339535404684i,-0.0290026001005902+0.937436019356427i,0.791459215501594-0.118645537023984i,0.701254817,-0.460325502,-0.544373138
7094.767528,27084.82298,0.824427573000489-0.138113194548586i,0.340422627081769-0.893272799927007i,0.511959294798579+0.783718588853854i,0.157281040238194-0.783455582994058i,0.69414061,-0.458535647,-0.554899878
5479.576675,28187.06268,0.389454130744674-0.737718661161495i,0.0561006302862106-0.954632962912668i,0.866911381701474+0.348643912416601i,-0.68240192909822-0.413172232616426i,0.686950709,-0.456695785,-0.565267797
3927.425917,27891.91745,-0.349918337042774-0.75529212739632i,-0.233713802670797-0.927574188987502i,0.908660211008556-0.210463361280411i,-0.618808737343778+0.501097412915417i,0.679699024,-0.454821528,-0.575453399
5333.091749,27036.37203,-0.811082255439072-0.178705039415998i,-0.502121784537161-0.814446943412308i,0.622986343168247-0.691977260689946i,0.261716296382758+0.750315157095658i,0.672416259,-0.452949726,-0.585399796
8988.834661,26316.33292,-0.631751155885666+0.536148857001824i,-0.72414051952264-0.625609930812095i,0.113601162029482-0.922581192017456i,0.792896659565969+0.00698268507332222i,0.665071101,-0.451032423,-0.595189201
11358.01987,26599.94474,0.0446289986296421+0.82538731696877i,-0.879035338682514-0.37849625418739i,-0.435318260920593-0.819645507357722i,0.27317554080099-0.742436528525348i,0.657667173,-0.449071299,-0.604821344
11612.54128,27358.75781,0.682768900095564+0.46229030911169i,-0.952267432145066-0.0960163182638418i,-0.825551103504943-0.420949230519381i,-0.605791173792557-0.505780961575567i,0.650208056,-0.447068031,-0.614296069
11192.17383,26792.03112,0.778918314834746-0.264131474611605i,-0.936873554651165+0.195557704174706i,-0.916336454040102+0.128968372205415i,-0.678095025626799+0.399781270903343i,0.642692169,-0.445023434,-0.623619211
11854.96889,26616.23014,0.259039042421337-0.778435208679019i,-0.834145587681843+0.469031690955282i,-0.675218529165703+0.630970216211915i,0.14903450795276+0.770825814706115i,0.635060236,-0.442928663,-0.632860724
13058.07698,26907.75783,-0.463340891546804-0.674520869045377i,-0.653542188069327+0.69882786099079i,-0.189862940110371+0.903273185059781i,0.77418679619212+0.117032320505121i,0.62738289,-0.440796711,-0.641941562
12204.43217,27304.14268,-0.81544166746837-0.0369285135529672i,-0.41183597086526+0.863384854165211i,0.363528171413882+0.847274591730258i,0.36771173009429-0.688831494915718i,0.619661221,-0.438626042,-0.650866474
7948.090884,28573.29905,-0.519496388033124+0.627017749495238i,-0.131571190128202+0.94719406028202i,0.783937133548435+0.483440408697229i,-0.525556729972468-0.574561364615534i,0.61189722,-0.436416567,-0.659638062
2785.804417,28923.0633,0.187388441248214+0.790400990414006i,0.161027980291635+0.942278991371734i,0.91845635634581-0.0558613556344847i,-0.714603465802332+0.303848866520963i,0.604097912,-0.434174938,-0.66824983
1069.775702,28165.94929,0.742344900104879+0.32514895337827i,0.43850586009405+0.848975212344827i,0.718021060122918-0.574194572788766i,0.0494791871689063+0.772812140659458i,0.596008394,-0.431907045,-0.6769271
2572.380505,28049.98646,0.704609217862794-0.396773842839892i,0.674752652391133+0.6759328931049i,0.255607906486883-0.882407776122779i,0.743629430151279+0.20854434428274i,0.587867653,-0.429610434,-0.685453498
4202.843722,28547.6598,0.106015906493367-0.79997002842836i,0.847469143181847+0.439336512879804i,-0.299958610104113-0.867683891327523i,0.441301252137655-0.631373255894753i,0.579701227,-0.427286471,-0.693810319
4077.941942,29056.5076,-0.574907256917362-0.564062867438275i,0.940285693489395+0.161409912343638i,-0.745344872318209-0.535089354107511i,-0.449531730773114-0.623175974425568i,0.571512574,-0.42493688,-0.701998594
3315.40793,29095.40803,-0.794812062179952+0.121165401095655i,0.944333189038299-0.1316571663575i,-0.917037347541155-0.00623280473392356i,-0.734615115995677+0.219063213511137i,0.563305075,-0.422563358,-0.710019437
4580.792851,29287.40713,-0.379122181739587+0.70756157851704i,0.859113678433725-0.41216915266549i,-0.751542345701045+0.524818399036561i,-0.0340739958540914+0.764138298842444i,0.55550303,-0.420268566,-0.717489175
7938.899245,30025.40785,0.338685937074587+0.726569386597278i,0.692583373175877-0.653541259940798i,-0.309238229633774+0.862543950353711i,0.709411321097548+0.281864642575915i,0.547813423,-0.417980985,-0.724701559
10351.07536,30091.20723,0.783760883216838+0.163836000530608i,0.460434531598488-0.832825779941918i,0.24721924367808+0.882013651839276i,0.49731742007363-0.57730051668975i,0.540114812,-0.415672026,-0.731773706
8738.012849,29027.53262,0.599885559115002-0.529207350036615i,0.184638614800478-0.932907644410056i,0.712395893202368+0.575409723316248i,-0.382939543653343-0.657349935922578i,0.532409644,-0.413343079,-0.73870662
4974.870982,28759.05356,-0.0650356356999117-0.796734899899159i,-0.108616184336798-0.944158164328878i,0.913852097136268+0.0555881348598982i,-0.7451798379499+0.147942231173397i,0.524700309,-0.410995513,-0.745501357
4358.535846,28730.77186,-0.677128245355381-0.42414742397053i,-0.391401153863847-0.865385549357417i,0.776275945952911-0.485061421829347i,-0.102022274955372+0.751988789742734i,0.516218243,-0.408458362,-0.752781836
