,out_N,out_C,out_S,I_predict,out_N_simple,out_C_simple,out_S_simple
332,-0.16945148,-0.55439323,-0.81873256,2.8282359,-0.20137432,-0.5840844,-0.7266559
333,-0.1693004,-0.5539077,-0.81902784,2.5799198,-0.2003738,-0.5797593,-0.7238352
334,-0.16914077,-0.5534281,-0.81931996,2.2790356,-0.19929837,-0.57529265,-0.7208609
335,-0.16897263,-0.5529546,-0.81960875,2.3639205,-0.19814658,-0.5706838,-0.71773064
336,-0.16879608,-0.5524872,-0.8198944,2.321018,-0.196917,-0.5659323,-0.7144411
337,-0.1686111,-0.5520257,-0.820177,1.5894169,-0.19560817,-0.56103736,-0.71098995
338,-0.16841781,-0.55157053,-0.82045656,0.63247716,-0.19421871,-0.5559986,-0.7073741
339,-0.16821632,-0.55112153,-0.8207333,0.5224435,-0.19274713,-0.5508153,-0.7035909
340,-0.16800666,-0.55067885,-0.82100713,1.5277567,-0.1911921,-0.5454866,-0.6996378
341,-0.16778888,-0.55024207,-0.821278,2.683327,-0.18955216,-0.5400123,-0.6955118
342,-0.16756302,-0.54981184,-0.8215463,2.990619,-0.18782598,-0.53439146,-0.69121057
343,-0.16732922,-0.54938793,-0.821812,2.608561,-0.18601218,-0.5286233,-0.6867315
344,-0.16708747,-0.54897016,-0.82207507,2.4178445,-0.18410939,-0.5227074,-0.6820716
345,-0.16683784,-0.54855895,-0.8223358,2.6498618,-0.1821163,-0.5166427,-0.67722857
346,-0.16658035,-0.548154,-0.82259405,2.5762327,-0.18003158,-0.51042825,-0.6722001
347,-0.16631508,-0.54775536,-0.82284987,1.6953952,-0.17785396,-0.5040637,-0.6669831
348,-0.16604206,-0.54736334,-0.82310367,0.6696494,-0.17558205,-0.4975477,-0.6615752
349,-0.16576135,-0.5469776,-0.8233553,0.5970611,-0.17321466,-0.49087924,-0.65597415
350,-0.16547291,-0.5465985,-0.8236048,1.5822669,-0.17075054,-0.48405758,-0.6501774
351,-0.1651768,-0.5462258,-0.8238524,2.5921192,-0.16818841,-0.47708127,-0.6441825
352,-0.164873,-0.5458596,-0.8240981,2.7831898,-0.16552706,-0.46994936,-0.6379869
353,-0.16456157,-0.5454999,-0.824342,2.4443352,-0.1627653,-0.46266034,-0.6315882
354,-0.16424243,-0.54514676,-0.82458436,2.316327,-0.15990193,-0.4552131,-0.6249841
355,-0.16391562,-0.5448002,-0.8248249,2.3990202,-0.15693578,-0.44760597,-0.61817217
356,-0.16358107,-0.5444603,-0.8250642,2.0322297,-0.15386572,-0.43983755,-0.61115015
357,-0.1632388,-0.5441268,-0.8253018,1.0939482,-0.15069059,-0.4319061,-0.60391545
358,-0.16288868,-0.5438001,-0.82553816,0.46407014,-0.14740933,-0.42380998,-0.5964659
359,-0.16253076,-0.54348,-0.8257733,0.95135087,-0.1440208,-0.41554737,-0.58879936
360,-0.16216491,-0.54316634,-0.8260075,2.1592891,-0.14052393,-0.4071163,-0.58091336
361,-0.16179104,-0.5428595,-0.82624036,2.9351988,-0.13691768,-0.39851472,-0.5728055
362,-0.16140911,-0.5425591,-0.8264726,2.8149796,-0.13320099,-0.3897405,-0.5644737
363,-0.161019,-0.54226536,-0.8267038,2.4574327,-0.12937288,-0.38079134,-0.5559156
364,-0.16062054,-0.54197836,-0.82693434,2.5203006,-0.12543233,-0.37166494,-0.5471289
365,-0.16021368,-0.5416979,-0.82716423,2.6632283,-0.12137834,-0.36235878,-0.5381115
366,-0.1597983,-0.5414241,-0.82739365,2.1369882,-0.117209956,-0.35287023,-0.52886117
367,-0.15937416,-0.5411568,-0.8276227,1.0692652,-0.11292627,-0.34319657,-0.51937544
368,-0.15894115,-0.5408964,-0.82785136,0.51193094,-0.1085263,-0.33333498,-0.5096524
369,-0.15849912,-0.5406425,-0.82807976,1.1032152,-0.10400917,-0.32328257,-0.4996895
370,-0.15804784,-0.540395,-0.8283082,2.2190022,-0.099373974,-0.3130361,-0.4894849
371,-0.1575871,-0.5401544,-0.82853657,2.7991765,-0.094619855,-0.30259246,-0.4790361
372,-0.15711673,-0.5399202,-0.82876533,2.649118,-0.08974595,-0.2919483,-0.46834105
373,-0.15663649,-0.5396926,-0.8289942,2.408565,-0.08475137,-0.2811002,-0.4573976
374,-0.15614614,-0.5394715,-0.8292235,2.3935187,-0.07963535,-0.27004465,-0.44620344
375,-0.1556454,-0.539257,-0.8294532,2.1428285,-0.07439704,-0.25877774,-0.4347563
376,-0.1551341,-0.539049,-0.8296834,1.3413259,-0.06903564,-0.24729599,-0.4230542
377,-0.15461183,-0.5388475,-0.82991445,0.620394,-0.06355038,-0.23559523,-0.41109473
378,-0.15407841,-0.5386525,-0.8301463,0.86283886,-0.057940513,-0.22367163,-0.39887586
379,-0.15353347,-0.53846383,-0.8303793,1.9309479,-0.052205242,-0.21152085,-0.38639522
380,-0.1529768,-0.53828186,-0.83061314,2.7396793,-0.046343815,-0.19913876,-0.37365082
381,-0.15240793,-0.53810596,-0.8308484,2.6851363,-0.040355522,-0.18652098,-0.36064023
382,-0.15182662,-0.53793675,-0.83108467,2.3769608,-0.034239635,-0.17366298,-0.3473614
383,-0.15123257,-0.53777367,-0.8313226,2.5652769,-0.027995415,-0.1605602,-0.33381203
384,-0.15062533,-0.53761697,-0.8315623,2.8511372,-0.02162219,-0.14720805,-0.31998986
385,-0.15000461,-0.53746647,-0.8318035,2.2154963,-0.01511925,-0.1336017,-0.3058928
386,-0.14936997,-0.53732216,-0.83204657,0.7446291,-0.008485901,-0.119736284,-0.29151842
387,-0.14872107,-0.53718424,-0.8322917,-0.024021734,-0.0017214493,-0.10560685,-0.27686468
388,-0.14805754,-0.5370524,-0.8325389,1.0696912,0.0051747556,-0.09120834,-0.2619291
389,-0.14737897,-0.53692675,-0.8327883,3.1709318,0.012203405,-0.076535664,-0.24670954
390,-0.14668487,-0.5368071,-0.83304006,4.275305,0.019365177,-0.061583634,-0.23120384
391,-0.14597493,-0.5366935,-0.8332943,3.5008984,0.026660716,-0.046346903,-0.21540949
392,-0.14524871,-0.536586,-0.8335514,1.7037085,0.034090683,-0.030820195,-0.19932431
393,-0.14450575,-0.5364846,-0.83381104,-0.18460712,0.041655764,-0.014998092,-0.182946
394,-0.14374565,-0.53638893,-0.8340737,-2.1280737,0.04935662,0.0011249041,-0.16627224
395,-0.1429679,-0.53629917,-0.8343395,-1.5904251,0.057193886,0.017554268,-0.14930068
396,-0.14217217,-0.5362153,-0.8346085,14.850357,0.06516825,0.03429563,-0.13202894
397,-0.14135793,-0.53613734,-0.83488053,-1.0637604,0.07328039,0.05135456,-0.11445482
398,-0.14052477,-0.53606504,-0.83515644,-1.9583504,0.08153093,0.06873674,-0.096575744
399,-0.1396722,-0.5359983,-0.8354358,1.9741961,0.0899206,0.086447895,-0.078389384
